block_start,block_end,average_distance
1,19,0.34396007091999053
2,20,0.30911653879880907
3,21,0.3049081874728203
4,22,0.30031079817414286
5,23,0.2871778252840042
6,24,0.31782432628273966
7,25,0.3488705891907215
8,26,0.338385980284214
9,27,0.3447159032166004
10,28,0.35754209908843043
11,29,0.3457024758994579
12,30,0.32830143290758135
13,31,0.31291195619106293
14,32,0.31734689244031905
15,33,0.31201214596629145
16,34,0.3115271921813488
17,35,0.3175457842707634
18,36,0.29699946605563166
19,37,0.2920223508119583
20,38,0.3056020821034908
21,39,0.30965490617752073
22,40,0.3337780227541923
23,41,0.34901005621552467
24,42,0.3666246915757656
25,43,0.38299625616073607
26,44,0.388074940097332
27,45,0.40405014716386795
28,46,0.41918617817163467
29,47,0.42355379775166513
30,48,0.46060663299560545
